ID,Ingredient,Form,Dosage
28120215193,iobenguan(131-i),inject,
28120215293,"iobenguan(131-i),sodiumiodide(131-i)",inject,
28106323319,abacavir,tablet,300 mg
28105588715,"abacavir,lamivudine",tablet,600+300 mg
28106070718,"abacavirhydrochloride,lamivudine",tablet,600+300 mg
28105535814,"abacavirhydrochloride,lamivudine",tablet,600+300 mg
28105684015,"abacavir,lamivudine",tablet,600+300 mg
28105542515,"abacavirhydrochloride,lamivudine",tablet,600+300 mg
28106059118,"abacavirsulphate,lamivudine",tablet,600+300 mg
28102960614,"abacavirhydrochloride,lamivudine",tablet,600+300 mg
28105723816,"abacavirsulphate,lamivudine",tablet,600+300 mg
28105298713,insulinglargine,inject,100 uml
28105484214,insulinglargine,inject,100 e/ml
28106333619,insulinglargine,inject,100 e/ml
28100157755,erythromycinstearate,tablet,250 mg
28100620972,erythromycinstearate,tablet,500 mg
28101191784,erythromycinethylsuccinate,granule,100 mg/ml
28100627873,erythromycinethylsuccinate,granule,40 mg/ml
28100926053,erythromycinlactobionate,powder,1 g
28101286986,erythromycinethylsuccinate,tablet,500 mg
28106523220,esomeprazolemagnesiumdihydrate,tablet,20 mg
28106523320,esomeprazolemagnesiumdihydrate,tablet,40 mg
28103888106,aripiprazole,inject,7.5 mg/ml
28103686004,aripiprazole,tablet,10 mg
28103686104,aripiprazole,tablet,15 mg
28103686204,aripiprazole,tablet,30 mg
28103334201,aripiprazole,tablet,10 mg
28103334301,aripiprazole,tablet,15 mg
28103334401,aripiprazole,tablet,30 mg
28103532903,aripiprazole,tablet,5 mg
28106997223,aripiprazole,inject,720 mg
28106997323,aripiprazole,inject,960 mg
28105229112,aripiprazole,powder,300 mg
28105229212,aripiprazole,powder,400 mg
28105583915,aripiprazole,powder,300 mg
28105584015,aripiprazole,powder,400 mg
28106330719,abirateroneacetate,tablet,500 mg
28106330619,abirateroneacetate,tablet,250 mg
28106548120,abirateroneacetate,tablet,500 mg
28106329919,abirateroneacetate,tablet,500 mg
28106329819,abirateroneacetate,tablet,250 mg
28106328619,abirateroneacetate,tablet,500 mg
28106473020,abirateroneacetate,tablet,500 mg
28106419620,abirateroneacetate,tablet,1000 mg
28106419520,abirateroneacetate,tablet,500 mg
28106467020,abirateroneacetate,tablet,500 mg
28106466920,abirateroneacetate,tablet,250 mg
28106474220,abirateroneacetate,tablet,500 mg
28106525920,abirateroneacetate,tablet,500 mg
28106476620,abirateroneacetate,tablet,500 mg
28106476520,abirateroneacetate,tablet,250 mg
28106564021,abirateroneacetate,tablet,500 mg
28106427920,abirateroneacetate,tablet,1000 mg
28106372519,abirateroneacetate,tablet,500 mg
28106544620,abirateroneacetate,tablet,500 mg
28104011606,paclitaxel,powder,5 mg/ml
28106897322,"respiratorysyncytialvirus,subgroupa,stabilizedprefusionfprotein847a,respiratorysyncytialvirus,subgroupb,stabilizedprefusionfprotein847b",powder,60+60 mikrogram/dosis
28103921806,epoetinalfa,inject,6000 iu/0.6 ml
28103922006,epoetinalfa,inject,10000 iu/1.0 ml
28103921306,epoetinalfa,inject,1000 iu/0.5 ml
28104646710,epoetinalfa,inject,20000 iu / 0.5 ml
28103921406,epoetinalfa,inject,2000 iu/1.0 ml
28104646810,epoetinalfa,inject,30000 iu / 0.75 ml
28103921506,epoetinalfa,inject,3000 iu/0.3 ml
28104646910,epoetinalfa,inject,40000 iu / 1.0 ml
28103921606,epoetinalfa,inject,4000 iu/0.4 ml
28103921706,epoetinalfa,inject,5000 iu/0.5 ml
28104214907,epoetinalfa,inject,7000 iu/0.7 ml
28103921906,epoetinalfa,inject,8000 iu/0.8 ml
28104215007,epoetinalfa,inject,9000 iu/0.9 ml
28103981706,fentanylcitrate,tablet,100 mikrogram
28105956317,fentanylcitrate,tablet,100 mikrogram
28106007817,fentanylcitrate,tablet,100 mikrogram
28103981806,fentanylcitrate,tablet,200 mikrogram
28105979717,fentanylcitrate,tablet,200 mikrogram
28106007917,fentanylcitrate,tablet,200 mikrogram
28103981906,fentanylcitrate,tablet,300 mikrogram
28103982006,fentanylcitrate,tablet,400 mikrogram
28106008017,fentanylcitrate,tablet,400 mikrogram
28103982106,fentanylcitrate,tablet,600 mikrogram
28103982206,fentanylcitrate,tablet,800 mikrogram
28106262419,acamprosatecalcium,tablet,333 mg
28105502414,"dermatophagoidesfarinae,dermatophagoidespteronyssinus",tablet,12 sq-hdm
28106573220,filgrastim,inject,12 me/0.2 ml
28105408914,filgrastim,inject,30 me/0.5ml
28105409014,filgrastim,inject,48 me/0.5ml
28106573320,filgrastim,inject,70 me/0.73 ml
28107031123,lisinoprilanhydrous,tablet,20 mg
28106933423,acetylsalicylicacid,tablet,75 mg
28105699015,acetylsalicylicacid,tablet,150 mg
28105698915,acetylsalicylicacid,tablet,75 mg
28103002898,aciclovir,cream,50 mg/g
28101863196,aciclovir,tablet,200 mg
28101863296,aciclovir,tablet,400 mg
28101863396,aciclovir,tablet,800 mg
28103529203,aciclovir,tablet,200 mg
28103529303,aciclovir,tablet,400 mg
28103529403,aciclovir,tablet,800 mg
28105477314,aciclovir,tablet,200 mg
28106993423,aciclovir,tablet,200 mg
28106905623,aciclovir,tablet,800 mg
28107133624,omeprazole,capsule,10 mg
28105627515,acitretin,capsule,10 mg
28105628015,acitretin,capsule,25 mg
28103030998,aciclovir,cream,50 mg/g
28105654815,"cholecalciferol,alendronatesodiumtrihydrate",tablet,70 mg+140 mikrogram
28105654715,"cholecalciferol,alendronatesodiumtrihydrate",tablet,70 mg+70 mikrogram
28104895411,"clindamycinphosphate,tretinoin",gel,10 mg/g+0.25 mg/g
28106949623,"clindamycinphosphate,tretinoin",gel,10 mg/g+0.25 mg/g
28105147912,isotretinoin,capsule,10 mg
28105148012,isotretinoin,capsule,20 mg
28105111012,"hydrochlorothiazide,telmisartan",tablet,40 mg +12.5 mg
28105111112,"hydrochlorothiazide,telmisartan",tablet,80 mg +12.5 mg
28105111212,"hydrochlorothiazide,telmisartan",tablet,80 mg + 25 mg
28101415990,alteplase,powder,
28103231701,fentanylcitrate,tablet,200 mikrogram
28103231801,fentanylcitrate,tablet,400 mikrogram
28103231901,fentanylcitrate,tablet,600 mikrogram
28103232001,fentanylcitrate,tablet,800 mikrogram
28103009598,"estradiol,norethisteroneacetate",tablet,0.5+1 mg
28104202307,"estradiolhemihydrate,norethisteroneacetate",tablet,0.5+0.1 mg
28103052198,pioglitazonehydrochloride,tablet,15 mg
28103089399,pioglitazonehydrochloride,tablet,30 mg
28103461102,pioglitazonehydrochloride,tablet,45 mg
28103269101,"insulin(isophaneinsulin)human,insulinhuman(rdna)",inject,100 iu/ml
28103269201,"insulin(isophaneinsulin)human,insulinhuman(rdna)",inject,100 iu/ml
28103268501,"insulin(isophaneinsulin)human,insulinhuman(rdna)",inject,100 iu/ml
28103268401,"insulin(isophaneinsulin)human,insulinhuman(rdna)",inject,40 iu/ml
28103269701,"insulin(isophaneinsulin)human,insulinhuman(rdna)",inject,100 iu/ml
28103269601,"insulin(isophaneinsulin)human,insulinhuman(rdna)",inject,100 iu/ml
28103268801,"insulin(isophaneinsulin)human,insulinhuman(rdna)",inject,100 iu/ml
28103268901,"insulin(isophaneinsulin)human,insulinhuman(rdna)",inject,100 iu/ml
28103269001,"insulin(isophaneinsulin)human,insulinhuman(rdna)",inject,100 iu/ml
28103253301,insulinhuman(rdna),inject,100 ie/ml
28103253201,insulinhuman(rdna),inject,40 ie/ml
28103253701,insulinhuman(rdna),inject,100 ie/ml
28103253601,insulinhuman(rdna),inject,100 ie/ml
28103253401,insulinhuman(rdna),inject,100 ie/ml
28105769316,nifedipine,tablet,30 mg
28101397390,nifedipine,tablet,30 mg
28106980023,nifedipine,tablet,30 mg
28106359619,adapalene,cream,1 mg/g
28106735122,"adapalene,benzoylperoxide,aqueous",gel,1+25 mg/g
28105009311,loxapine,powder,4.5 mg
28105009411,loxapine,powder,9.1 mg
28104931611,brentuximabvedotin,powder,50 mg
28104351408,tadalafil,tablet,20 mg
28105246913,riociguat,tablet,0.5 mg
28105247113,riociguat,tablet,1.5 mg
28105247013,riociguat,tablet,1 mg
28105247313,riociguat,tablet,2.5 mg
28105247213,riociguat,tablet,2 mg
28101540293,adenosine,inject,3 mg/ml
28106832322,adenosine,inject,3 mg/ml
28105292913,adenosine,inject,3 mg/ml
28101746695,adenosine,inject,5 mg/ml
28106475520,adenosine,inject,5 mg/ml
28104019206,febuxostat,tablet,120 mg
28104019106,febuxostat,tablet,80 mg
28103104499,glucosaminoglycanpolysulfate(psgag),inject,100 mg/ml
28103988406,amlodipinebesilate,tablet,10 mg
28103988306,amlodipinebesilate,tablet,5 mg
28106668221,lisdexamphetaminedimesilate,capsule,20 mg
28106668321,lisdexamphetaminedimesilate,capsule,30 mg
28106668421,lisdexamphetaminedimesilate,capsule,40 mg
28106668521,lisdexamphetaminedimesilate,capsule,50 mg
28106668621,lisdexamphetaminedimesilate,capsule,60 mg
28106668721,lisdexamphetaminedimesilate,capsule,70 mg
28104756510,influenzavirusa/vietnam/1194/2004nibrg-14(h5n1)oprene.antigensofinactivatedsplitvirions,inject,3.75 mikrogram
28104303808,tacrolimusmonohydrate,capsule,0.5 mg
28105215413,tacrolimusmonohydrate,capsule,0.75 mg
28104303908,tacrolimusmonohydrate,capsule,1 mg
28105215313,tacrolimusmonohydrate,capsule,2 mg
28104304008,tacrolimusmonohydrate,capsule,5 mg
28106241819,adrenalinetartrate,inject,1 mg/ml
28105522114,adrenalinetartrate,inject,0.1 mg/ml
28106387220,adrenalinetartrate,inject,1 mg/ml
28105939617,adrenalinetartrate,inject,1 mg/ml
28106463820,adrenalinetartrate,inject,1 mg/ml
28100701476,adrenalinetartrate,inject,1 mg/ml
28106660021,adrenalinetartrate,inject,1 mg/ml
28106180718,adrenalinetartrate,inject,1 mg/ml
28105871816,adrenalinetartrate,inject,0.1 mg/ml
28106576421,adrenalinetartrate,inject,1 mg/ml
28106293619,adrenalinetartrate,inject,1 mg/ml
28101601685,adrenalinetartrate,inject,1 mg/ml
28120203693,iobenguan(123-i),inject,
28101313487,doxorubicinhydrochloride,inject,2 mg/ml
28100920277,doxorubicinhydrochloride,powder,10 mg
28100920177,doxorubicinhydrochloride,powder,50 mg
28104099907,"cholecalciferol,alendronatesodiumtrihydrate",tablet,70 mg+140 mikrogram
28103968906,"cholecalciferol,alendronatesodiumtrihydrate",tablet,70 mg+70 mikrogram
28106779722,lotusleaves,tablet,450 mg
28106779422,lotusleaves,tablet,56 mg
28106779822,lotusleaves,tablet,900 mg
28106779522,lotusleaves,tablet,112 mg
28106779622,lotusleaves,tablet,225 mg
28106779222,lotusleaves,tablet,12 mg
28106779322,lotusleaves,tablet,48 mg
28106438220,tralokinumab,inject,150 mg
28106873822,tralokinumab,inject,300 mg
28106684821,lisdexamphetaminedimesilate,capsule,20 mg
28105379514,lisdexamphetaminedimesilate,capsule,30 mg
28106460220,lisdexamphetaminedimesilate,capsule,30 mg
28106684921,lisdexamphetaminedimesilate,capsule,40 mg
28105379614,lisdexamphetaminedimesilate,capsule,50 mg
28106460120,lisdexamphetaminedimesilate,capsule,50 mg
28106685021,lisdexamphetaminedimesilate,capsule,60 mg
28105379714,lisdexamphetaminedimesilate,capsule,70 mg
28106443320,lisdexamphetaminedimesilate,capsule,70 mg
28103915106,tacrolimusmonohydrate,capsule,0.5 mg
28103915206,tacrolimusmonohydrate,capsule,1 mg
28104323808,tacrolimus(anhydrous),capsule,3 mg
28103915306,tacrolimusmonohydrate,capsule,5 mg
28103443002,octocogalfa,powder,1000 ie
28103443102,octocogalfa,powder,1500 ie
28104195207,octocogalfa,powder,2000 ie
28103442802,octocogalfa,powder,250 ie
28104195307,octocogalfa,powder,3000 ie
28103442902,octocogalfa,powder,500 ie
28106079216,rurioctocogalfapegol,powder,1000 iu/2 ml
28105751816,rurioctocogalfapegol,powder,1000 iu/5 ml
28105751916,rurioctocogalfapegol,powder,2000 iu/5 ml
28105752016,rurioctocogalfapegol,powder,250 iu/2 ml
28105751616,rurioctocogalfapegol,powder,250 iu/5 ml
28106544516,rurioctocogalfapegol,powder,3000 ie/5 ml
28105752116,rurioctocogalfapegol,powder,500 iu/2 ml
28105751716,rurioctocogalfapegol,powder,500 iu/5 ml
28103985806,"desloratadine,pseudoephedrinesulphate",tablet,2.5+120 mg
28103120999,desloratadine,tablet,5 mg
28105623515,"fluticasonepropionate,salmeterolxinafoate",powder,50 mikrog+500 mikrog
28101931197,beclometasonedipropionate,spray,100 mikrogram/dosis
28107023323,beclometasonedipropionate,spray,100 mikrogram/dosis
28101931097,beclometasonedipropionate,spray,50 mikrogram/dosis
28101398890,beclometasonedipropionate,spray,100 mikrogram/dosis
28105363714,beclometasonedipropionate,spray,100 mikrogram/dosis
28106895723,beclometasonedipropionate,spray,100 mikrogram/dosis
28101398790,beclometasonedipropionate,spray,50 mikrogram/dosis
28106976423,beclometasonedipropionate,spray,100 mikrogram/dosis
52610069901,"horsechestnutseedextract,standardised",tablet,
28100690276,lauromacrogol400,inject,10 mg/ml
28100690576,lauromacrogol400,inject,30 mg/ml
28100690176,lauromacrogol400,inject,5 mg/ml
28104388708,everolimus,tablet,10 mg
28104948311,everolimus,tablet,2.5 mg
28104388608,everolimus,tablet,5 mg
28104648910,avianinfluenzavirussubtypeh5n1clade1straina/vietnam/1194/2004,inject,7.5 mikrogram
28106532020,"beclometasonedipropionate,formoterolfumaratedihydrate",spray,100+6 mikrog/dosis
28105712615,lonoctocogalfa,powder,1000 iu
28105712715,lonoctocogalfa,powder,1500 iu
28105712815,lonoctocogalfa,powder,2000 iu
28105712915,lonoctocogalfa,powder,2500 iu
28105712315,lonoctocogalfa,powder,250 iu
28105713015,lonoctocogalfa,powder,3000 iu
28105712515,lonoctocogalfa,powder,500 iu
28103050698,amprenavir,capsule,150 mg
28103034698,amprenavir,capsule,50 mg
28106689521,amoxicillintrihydrate,tablet,500 mg
28106689621,amoxicillintrihydrate,tablet,750 mg
28107023723,agomelatine,tablet,25 mg
28107025923,agomelatine,tablet,25 mg
28105949617,agomelatine,tablet,25 mg
28107011723,agomelatine,tablet,25 mg
28105923317,agomelatine,tablet,25 mg
28106971723,agomelatine,tablet,25 mg
28105923417,agomelatine,tablet,25 mg
28105923617,agomelatine,tablet,25 mg
