Name,ID,Ingredient,Form,Dosage
(131-i)meta-iodobenzylguanidine diagn. ge healthca,28120215193,iobenguan(131-i),inject,
(131-i)meta-iodobenzylguanidine therap. ge health.,28120215293,"iobenguan(131-i),sodiumiodide(131-i)",inject,
"abacavir ""accord""",28106323319,abacavir,tablet,300 mg
"abacavir/lamivudine ""accord""",28105588715,"abacavir,lamivudine",tablet,600+300 mg
"abacavir/lamivudine ""glenmark""",28106070718,"abacavirhydrochloride,lamivudine",tablet,600+300 mg
"abacavir/lamivudine ""sandoz""",28105535814,"abacavirhydrochloride,lamivudine",tablet,600+300 mg
"abacavir/lamivudine ""stada""",28105684015,"abacavir,lamivudine",tablet,600+300 mg
"abacavir/lamivudine ""teva""",28105542515,"abacavirhydrochloride,lamivudine",tablet,600+300 mg
"abacavir/lamivudin ""medical valley""",28106059118,"abacavirsulphate,lamivudine",tablet,600+300 mg
"abacavir/lamivudin ""mylan""",28102960614,"abacavirhydrochloride,lamivudine",tablet,600+300 mg
"abacavir/lamivudin ""mylan pharma""",28105723816,"abacavirsulphate,lamivudine",tablet,600+300 mg
abasaglar,28105298713,insulinglargine,inject,100 uml
abasaglar kwikpen,28105484214,insulinglargine,inject,100 e/ml
abasaglar tempo pen,28106333619,insulinglargine,inject,100 e/ml
abboticin,28100157755,erythromycinstearate,tablet,250 mg
abboticin,28100620972,erythromycinstearate,tablet,500 mg
abboticin,28101191784,erythromycinethylsuccinate,granule,100 mg/ml
abboticin,28100627873,erythromycinethylsuccinate,granule,40 mg/ml
abboticin,28100926053,erythromycinlactobionate,powder,1 g
abboticin novum,28101286986,erythromycinethylsuccinate,tablet,500 mg
abigerd,28106523220,esomeprazolemagnesiumdihydrate,tablet,20 mg
abigerd,28106523320,esomeprazolemagnesiumdihydrate,tablet,40 mg
abilify,28103888106,aripiprazole,inject,7.5 mg/ml
abilify,28103686004,aripiprazole,tablet,10 mg
abilify,28103686104,aripiprazole,tablet,15 mg
abilify,28103686204,aripiprazole,tablet,30 mg
abilify,28103334201,aripiprazole,tablet,10 mg
abilify,28103334301,aripiprazole,tablet,15 mg
abilify,28103334401,aripiprazole,tablet,30 mg
abilify,28103532903,aripiprazole,tablet,5 mg
abilify maintena,28106997223,aripiprazole,inject,720 mg
abilify maintena,28106997323,aripiprazole,inject,960 mg
abilify maintena,28105229112,aripiprazole,powder,300 mg
abilify maintena,28105229212,aripiprazole,powder,400 mg
abilify maintena,28105583915,aripiprazole,powder,300 mg
abilify maintena,28105584015,aripiprazole,powder,400 mg
"abirateron ""aet""",28106330719,abirateroneacetate,tablet,500 mg
"abirateron ""aet""",28106330619,abirateroneacetate,tablet,250 mg
"abirateron ""day zero""",28106548120,abirateroneacetate,tablet,500 mg
"abiraterone ""accord""",28106329919,abirateroneacetate,tablet,500 mg
"abiraterone ""accord""",28106329819,abirateroneacetate,tablet,250 mg
"abiraterone ""glenmark""",28106328619,abirateroneacetate,tablet,500 mg
"abiraterone ""krka""",28106473020,abirateroneacetate,tablet,500 mg
"abiraterone ""mylan""",28106419620,abirateroneacetate,tablet,1000 mg
"abiraterone ""mylan""",28106419520,abirateroneacetate,tablet,500 mg
"abiraterone ""qilu""",28106467020,abirateroneacetate,tablet,500 mg
"abiraterone ""qilu""",28106466920,abirateroneacetate,tablet,250 mg
"abiraterone ""stada""",28106474220,abirateroneacetate,tablet,500 mg
"abiraterone ""zentiva""",28106525920,abirateroneacetate,tablet,500 mg
"abirateron ""medac""",28106476620,abirateroneacetate,tablet,500 mg
"abirateron ""medac""",28106476520,abirateroneacetate,tablet,250 mg
"abirateron ""medical valley""",28106564021,abirateroneacetate,tablet,500 mg
"abirateron ""sandoz""",28106427920,abirateroneacetate,tablet,1000 mg
"abirateron ""sandoz""",28106372519,abirateroneacetate,tablet,500 mg
"abirateron ""teva""",28106544620,abirateroneacetate,tablet,500 mg
abraxane,28104011606,paclitaxel,powder,5 mg/ml
