PRODUCTID,PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE,NDC_EXCLUDE_FLAG,LISTING_RECORD_CERTIFIED_THROUGH
0002-0152_1761b768-7da0-44a9-bded-54c3bc63414a,0002-0152,HUMAN PRESCRIPTION DRUG,Zepbound,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,2.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20251231
0002-0213_458ef2aa-cd5f-48bc-8829-82420cfed33b,0002-0213,HUMAN OTC DRUG,Humulin,R,Insulin human,"INJECTION, SOLUTION",PARENTERAL,19830627,,BLA,BLA018780,Eli Lilly and Company,INSULIN HUMAN,100,[iU]/mL,"Insulin [CS], Insulin [EPC]",,N,20241231
0002-0243_1761b768-7da0-44a9-bded-54c3bc63414a,0002-0243,HUMAN PRESCRIPTION DRUG,Zepbound,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20251231
0002-0800_dec32ead-837e-4331-ab55-f3bbccea5b38,0002-0800,HUMAN OTC DRUG,Sterile Diluent,,diluent,"INJECTION, SOLUTION",SUBCUTANEOUS,19870710,,BLA,BLA018781,Eli Lilly and Company,WATER,1,mL/mL,,,N,20241231
0002-1152_b597917f-9673-4331-809d-79a538bb943c,0002-1152,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20230728,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,2.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20241231
0002-1200_c2f899b5-287a-4002-ae37-f69418174eb4,0002-1200,HUMAN PRESCRIPTION DRUG,Amyvid,,Florbetapir F 18,"INJECTION, SOLUTION",INTRAVENOUS,20120601,,NDA,NDA202008,Eli Lilly and Company,FLORBETAPIR F-18,51,mCi/mL,"Positron Emitting Activity [MoA], Radioactive Diagnostic Agent [EPC]",,N,20241231
0002-1214_1761b768-7da0-44a9-bded-54c3bc63414a,0002-1214,HUMAN PRESCRIPTION DRUG,Zepbound,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,7.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20251231
0002-1220_f615e11a-4b7c-4d64-99d2-36bc282fa391,0002-1220,HUMAN PRESCRIPTION DRUG,TAUVID,,Flortaucipir F-18,"INJECTION, SOLUTION",INTRAVENOUS,20220701,,NDA,NDA212123,Eli Lilly and Company,FLORTAUCIPIR F-18,100,mCi/mL,,,N,20251231
0002-1243_b597917f-9673-4331-809d-79a538bb943c,0002-1243,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20230728,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20241231
0002-1340_1761b768-7da0-44a9-bded-54c3bc63414a,0002-1340,HUMAN PRESCRIPTION DRUG,Zepbound,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,10,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20251231
